Name,Description,Ocupation Wikidata Ids
EDWARD ELGAR,(1857–1934) English composer,"composer|""conductor""|"
RICHARD LONCRAINE,(b.1946) British film and television director,film director|
CARLO AZEGLIO CIAMPI,10th President of Italy,"economist|""politician""|""banker""|"
PERVEZ MUSHARRAF,10th President of Pakistan,"politician|""financier""|"
A. P. J. ABDUL KALAM,11th president of India| Scientist| Author,"aerospace engineer|""poet""|""engineer""|""politician""|""scientist""|"
GIORGIO NAPOLITANO,11th President of Italy,politician|
ROBERT ZOELLICK,11th President of the World Bank Group,"banker|""politician""|"
BENAZIR BHUTTO,11th Prime Minister of Pakistan,"politician|""financier""|"
PRANAB MUKHERJEE,13th and current President of India,"author|""politician""|""writer""|"
ALAN GREENSPAN,13th Chairman of the Federal Reserve in the United States,"economist|""banker""|""politician""|""entrepreneur""|"
SUSAN SCHWAB,15th United States Trade Representative,
PETER PACE,16th Chairman of the Joint Chiefs of Staff,officer|
ALBERT BIERSTADT,1800s landscape painter of the American West,painter|
HENRY DAVID THOREAU,1817-1862 American author| abolitionist| naturalist,"writer|""poet""|""author""|""philosopher""|""essayist""|""autobiographer""|"
GUSTAVE FLAUBERT,1821-1880 French writer,"writer|""author""|""novelist""|"
JOHN BARRYMORE,1882–1942; American actor of stage| screen and radio,actor|
DUKE ELLINGTON,1899- 1974| American jazz musician| composer and band leader,"pianist|""composer""|""musician""|""autobiographer""|"
BRIAN MULRONEY,18th Prime Minister of Canada,"politician|""lawyer""|"
TOBIAS SMOLLETT,18th-century poet and author from Scotland,"writer|""historian""|""author""|""novelist""|"
JOHN FANTE,1909–1983; American novelist| short story writer and screenwriter of Italian descent,"writer|""screenwriter""|""author""|""novelist""|"
ROBERT MITCHUM,1917-1997 American film actor| author| composer and singer,"actor|""singer""|"
SIMONE SIGNORET,1921-1985 French actress,"film actor|""writer""|"
HANS WERNER HENZE,1926-2012 German composer,"composer|""musicologist""|"
ELIZABETH MACDONALD,1935 - present | American | Ceramicist| Sculptor,
JOHN GUARE,1938; American playwright,"author|""playwright""|""writer""|"
JOHN SAYLES,1950; American independent film director| screenwriter| editor| actor and author,"actor|""film director""|""screenwriter""|""writer""|"
JOANNE CARSON,1953 - present | American | Mixed Media Artist| Painter,
MICHAEL GLAWOGGER,1959-2014 Austrian film director| screenwriter and cinematographer,"film director|""screenwriter""|""writer""|"
NANCY BLUM,1963 - present | American | Draftsperson| Installation Artist| Sculptor,
EDWIN BOOTH,19th century American actor,actor|
GEORGES POMPIDOU,19th President of the French Republic,politician|
ZHOU ENLAI,1st Premier of the People's Republic of China,"politician|""diplomat""|"
BORIS YELTSIN,1st President of Russia and Chairman of the Supreme Soviet of the RSFSR,"engineer|""politician""|"
JOHN A. MACDONALD,1st Prime Minister of Canada,"politician|""lawyer""|"
TRYGVE LIE,1st Secretary-General of the United Nations,"politician|""diplomat""|""jurist""|"
DAVID G. BRADLEY,20th century American media mogul,
T. S. ELIOT,20th century English author,"playwright|""poet""|""essayist""|""literary critic""|""social critic""|""short story writer""|""university professor""|""writer""|"
KURT VONNEGUT,20th-century American writer,"playwright|""writer""|""screenwriter""|""author""|""novelist""|""essayist""|"
GROVER CLEVELAND,22nd and 24th president of the United States,"politician|""lawyer""|"
JACQUES CHIRAC,22nd President of the French Republic,"politician|""statesman""|"
JAY INSLEE,23rd Governor of Washington| United States,"politician|""lawyer""|"
NICOLAS SARKOZY,23rd President of the French Republic,"politician|""economist""|"
LEO XIII,256th Pope of the Catholic Church,Catholic priest|
PIUS XII,260th Pope of the Catholic Church,"Catholic priest|""diplomat""|"
JOHN XXIII,261st Pope of the Catholic Church,"Catholic priest|""diplomat""|"
PAUL VI,262nd Pope of the Catholic Church,"Catholic priest|""diplomat""|"
JOHN PAUL II,264th Pope of the Catholic Church| saint,"Catholic priest|""poet""|""politician""|""Esperantist""|""philosopher""|""writer""|""human rights activist""|"
BENEDICT XVI,265th Pope of the Catholic Church,"Catholic priest|""theologian""|""non-fiction writer""|""pianist""|"
MIKE JOHANNS,28th United States Secretary of Agriculture,"politician|""lawyer""|"
ROBERT GIBBS,28th White House Press Secretary,"politician|""civil servant""|"
ABIGAIL ADAMS,2nd First Lady of the United States (1797–1801),politician|
LIU SHAOQI,2nd President of the People's Republic of China,politician|
MICHAEL CHERTOFF,2nd Secretary of Homeland Security of the United States,"lawyer|""judge""|"
THOMAS VON ESSEN,30th FDNY Commissioner of New York City,
FREDRIK REINFELDT,32nd Prime Minister of Sweden,politician|
MICHAEL HAGEE,33rd Commandant of the Marine Corps,officer|
MICHELLE BACHELET,34th & 36th President of Chile,"politician|""physician""|""epidemiologist""|"
CORY BOOKER,35th Class 2 senator for New Jersey in U.S. Congress,"politician|""lawyer""|"
ROB PORTMAN,35th director of the Office of Management and Budget,"politician|""lawyer""|"
CARLOS GUTIERREZ,35th United States Secretary of Commerce,"politician|""entrepreneur""|"
ORVAL FAUBUS,36th Governor of Arkansas,politician|
SPIRO AGNEW,39th Vice President of the United States,"politician|""autobiographer""|"
ABDOULAYE WADE,3rd President of Senegal,politician|
U THANT,3rd Secretary-General of the United Nations,"politician|""diplomat""|""author""|""writer""|"
AARON BURR,3rd Vice President of the United States,"politician|""lawyer""|"
BILL GRAVES,43rd Governor of KansasBill Graves,politician|
BARACK OBAMA,44th President of the United States,"politician|""lawyer""|""professor""|""political writer""|""memoirist""|"
ALBERTO FUJIMORI,44th| 45th| and 46th President of Peru,"politician|""engineer""|"
AL GORE,45th Vice President of the United States,"politician|""financier""|"
JOE BIDEN,47th Vice President of the United States,"politician|""lawyer""|"
DIRK KEMPTHORNE,49th United States Secretary of the Interior,politician|
LAURENT GBAGBO,4th President of Côte d'Ivoire,"politician|""author""|"
HOSNI MUBARAK,4th president of Egypt,"politician|""aviator""|"
JACOB ZUMA,4th President of South Africa,politician|
DON SIEGELMAN,51st Governor of Alabama,"politician|""lawyer""|"
GEORGE PATAKI,53rd Governor of New York,politician|
ELIOT SPITZER,54th Governor of New York,"lawyer|""politician""|"
DAVID PATERSON,55th Governor of New York,politician|
NOBUSUKE KISHI,56th and 57th Prime Minister of Japan,"politician|""diplomat""|""espionage""|"
ANDREW CUOMO,56th Governor of New York,lawyer|
SHAH JAHAN,5th Mughal Emperor,monarch|
JALAL TALABANI,6th President of Iraq,"politician|""jurist""|"
DEVAL PATRICK,71st Governor of the Commonwealth of Massachusetts| USA,lawyer|
JOHN W. SNOW,73rd United States Secretary of the Treasury,
ROD PAIGE,7th American Secretary of Education,politician|
JOHN O. BRENNAN,7th Director of the Central Intelligence Agency,civil servant|
KOFI ANNAN,7th Secretary-General of the United Nations,"diplomat|""economist""|""politician""|"
ALBERTO GONZALES,80th United States Attorney General,"judge|""lawyer""|"
MARGARET SPELLINGS,8th United States Secretary of Education,politician|
BRENT SCOWCROFT,9th & 17th United States National Security Advisor,"officer|""geopolitician""|"
KURT WEILL,a German composer,"composer|""educationist""|""conductor""|"
MARLENE DIETRICH,a German-American actress and singer.,"actor|""film actor""|""singer""|""autobiographer""|"
JERRY RICE,A Hall of Fame American football wide receiver,"sportsperson|""gridiron football player""|"
LOIS LONG,A popular American writer for The New Yorker during the 1920s.,"author|""writer""|"
HERB WILLIAMS,a retired American basketball player,"sportsperson|""basketball player""|""basketball coach""|"
TRISTAN TZARA,a Romanian and French avant-garde poet| essayist and performance artist,"art collector|""poet""|""writer""|""diplomat""|""film director""|""author""|""translator""|""playwright""|""essayist""|""composer""|""musician""|"
SHAWN RYAN,a writer and television show creator,screenwriter|
MONICA ALI,A writer of Bangladeshi descent. Born in Bangladesh and moved to England.,"author|""writer""|""novelist""|"
SERGEI BAGAPSH,Abkhazian politician,politician|
HARRIET BEECHER STOWE,Abolitionist| author,"writer|""author""|""novelist""|"
HAROON RASHID,Academic,chemist|
MICHAEL MANDELBAUM,Academic,
SYLVIA ANN HEWLETT,Academic,
BEN WOLFE,academic and musician,"musician|""music educator""|"
VISHAKHA N. DESAI,Academic| Asia scholar,
BEN SISARIO,Academic| author and journalist,journalist|
MARK WAHLBERG,Academy Award-nominated American actor| television producer and rap musician,"film actor|""actor""|""film producer""|""musician""|""model""|"
PAUL GREENGRASS,Academy Award-nominated| BAFTA Award-winning English writer and film director,"film director|""screenwriter""|""author""|""writer""|"
GREG MACGILLIVRAY,Academy Award-winning American documentary film director and cinematographer,"film director|""cinematographer""|"
CAMERON CROWE,Academy Award-winning American writer and film director,"film director|""actor""|""screenwriter""|""film producer""|""blogger""|"
SANJEEV KUMAR,accomplished Indian film actor,actor|
ZARIN MEHTA,Accountant and orchestra manager,
ELSA ALVAREZ,Accused of spying on Cuban exile groups in the United States,politician|
HAZEL DICKENS,Activist| singer,singer|
DORA VAN DER GROEN,Actor,"television actor|""film actor""|""theatre director""|""actor""|"
BARNARD HUGHES,Actor,"television actor|""film actor""|""actor""|"
NEAL HUFF,actor,"television actor|""film actor""|""actor""|"
