Name,Description,Ocupation Wikidata Ids
EDWARD ELGAR,(1857–1934) English composer,"composer|""conductor""|"
GREG YAITANES,\Television and film director,film director|
PERVEZ MUSHARRAF,10th President of Pakistan,"politician|""financier""|"
GIORGIO NAPOLITANO,11th President of Italy,politician|
ROBERT ZOELLICK,11th President of the World Bank Group,"banker|""politician""|"
BENAZIR BHUTTO,11th Prime Minister of Pakistan,"politician|""financier""|"
ALAN GREENSPAN,13th Chairman of the Federal Reserve in the United States,"economist|""banker""|""politician""|""entrepreneur""|"
ALPHONSO JACKSON,13th United States Secretary of Housing and Urban Development,
CHARLES W. STEGER,15th president of Virginia Polytechnic Institute and State University,
PETER PACE,16th Chairman of the Joint Chiefs of Staff,officer|
HENRY DAVID THOREAU,1817-1862 American author| abolitionist| naturalist,"writer|""poet""|""author""|""philosopher""|""essayist""|""autobiographer""|"
DUKE ELLINGTON,1899- 1974| American jazz musician| composer and band leader,"pianist|""composer""|""musician""|""autobiographer""|"
JERZY NOWAK,1923-2013 Polish actor,"actor|""teacher""|"
JIM HENSON,1936-1990| American puppeteer| Screenwriter| Film Director and Producer,"television director|""film director""|""film producer""|""voice actor""|""puppeteer""|""actor""|"
JOHN GUARE,1938; American playwright,"author|""playwright""|""writer""|"
JOHN SAYLES,1950; American independent film director| screenwriter| editor| actor and author,"actor|""film director""|""screenwriter""|""writer""|"
GEORGES POMPIDOU,19th President of the French Republic,politician|
MIGUEL DE UNAMUNO,19th-20th century Spanish writer and philosopher,"poet|""philosopher""|""writer""|""author""|""essayist""|""novelist""|"
ZHOU ENLAI,1st Premier of the People's Republic of China,"politician|""diplomat""|"
BORIS YELTSIN,1st President of Russia and Chairman of the Supreme Soviet of the RSFSR,"engineer|""politician""|"
T. S. ELIOT,20th century English author,"playwright|""poet""|""essayist""|""literary critic""|""social critic""|""short story writer""|""university professor""|""writer""|"
KURT VONNEGUT,20th-century American writer,"playwright|""writer""|""screenwriter""|""author""|""novelist""|""essayist""|"
GROVER CLEVELAND,22nd and 24th president of the United States,"politician|""lawyer""|"
CHRISTINE GREGOIRE,22nd Governor of Washington| United States,lawyer|
JACQUES CHIRAC,22nd President of the French Republic,"politician|""statesman""|"
NICOLAS SARKOZY,23rd President of the French Republic,"politician|""economist""|"
PIUS XII,260th Pope of the Catholic Church,"Catholic priest|""diplomat""|"
PAUL VI,262nd Pope of the Catholic Church,"Catholic priest|""diplomat""|"
JOHN PAUL II,264th Pope of the Catholic Church| saint,"Catholic priest|""poet""|""politician""|""Esperantist""|""philosopher""|""writer""|""human rights activist""|"
BENEDICT XVI,265th Pope of the Catholic Church,"Catholic priest|""theologian""|""non-fiction writer""|""pianist""|"
MIKE JOHANNS,28th United States Secretary of Agriculture,"politician|""lawyer""|"
ROBERT GIBBS,28th White House Press Secretary,"politician|""civil servant""|"
MICHAEL CHERTOFF,2nd Secretary of Homeland Security of the United States,"lawyer|""judge""|"
THOMAS VON ESSEN,30th FDNY Commissioner of New York City,
MICHELLE BACHELET,34th & 36th President of Chile,"politician|""physician""|""epidemiologist""|"
CORY BOOKER,35th Class 2 senator for New Jersey in U.S. Congress,"politician|""lawyer""|"
ROB PORTMAN,35th director of the Office of Management and Budget,"politician|""lawyer""|"
CARLOS GUTIERREZ,35th United States Secretary of Commerce,"politician|""entrepreneur""|"
SPIRO AGNEW,39th Vice President of the United States,"politician|""autobiographer""|"
ABDOULAYE WADE,3rd President of Senegal,politician|
AARON BURR,3rd Vice President of the United States,"politician|""lawyer""|"
BARACK OBAMA,44th President of the United States,"politician|""lawyer""|""professor""|""political writer""|""memoirist""|"
AL GORE,45th Vice President of the United States,"politician|""financier""|"
JOE BIDEN,47th Vice President of the United States,"politician|""lawyer""|"
DIRK KEMPTHORNE,49th United States Secretary of the Interior,politician|
LAURENT GBAGBO,4th President of Côte d'Ivoire,"politician|""author""|"
HOSNI MUBARAK,4th president of Egypt,"politician|""aviator""|"
JACOB ZUMA,4th President of South Africa,politician|
DON SIEGELMAN,51st Governor of Alabama,"politician|""lawyer""|"
GEORGE PATAKI,53rd Governor of New York,politician|
ELIOT SPITZER,54th Governor of New York,"lawyer|""politician""|"
DAVID PATERSON,55th Governor of New York,politician|
ANDREW CUOMO,56th Governor of New York,lawyer|
JALAL TALABANI,6th President of Iraq,"politician|""jurist""|"
DEVAL PATRICK,71st Governor of the Commonwealth of Massachusetts| USA,lawyer|
JOHN W. SNOW,73rd United States Secretary of the Treasury,
HENRY PAULSON,74th United States Secretary of the Treasury,banker|
ROD PAIGE,7th American Secretary of Education,politician|
KOFI ANNAN,7th Secretary-General of the United Nations,"diplomat|""economist""|""politician""|"
ALBERTO GONZALES,80th United States Attorney General,"judge|""lawyer""|"
MARGARET SPELLINGS,8th United States Secretary of Education,politician|
SAID BAHAJI,9/11 planner,
BRENT SCOWCROFT,9th & 17th United States National Security Advisor,"officer|""geopolitician""|"
KURT WEILL,a German composer,"composer|""educationist""|""conductor""|"
MARLENE DIETRICH,a German-American actress and singer.,"actor|""film actor""|""singer""|""autobiographer""|"
JOHN JACOB ASTOR,a German-born American businessman| merchant| fur trader| and investor who was the first prominent member of the Astor family and the first multi-millionaire in the United States,entrepreneur|
JERRY RICE,A Hall of Fame American football wide receiver,"sportsperson|""gridiron football player""|"
HERB WILLIAMS,a retired American basketball player,"sportsperson|""basketball player""|""basketball coach""|"
BILL JENSEN,abstract painter,painter|
NORMAN ABRAMS,Academic,
BETH ROGERS,Academic,
BEN SISARIO,Academic| author and journalist,journalist|
MARK WAHLBERG,Academy Award-nominated American actor| television producer and rap musician,"film actor|""actor""|""film producer""|""musician""|""model""|"
PAUL GREENGRASS,Academy Award-nominated| BAFTA Award-winning English writer and film director,"film director|""screenwriter""|""author""|""writer""|"
ZARIN MEHTA,Accountant and orchestra manager,
DIETRICH WAGNER,Activist,engineer|
STEPHEN LANG,actor,actor|
PETER SARSGAARD,actor,actor|
RICHARD BASEHART,Actor,actor|
DANIEL J. TRAVANTI,Actor,actor|
ROD STEIGER,Actor,actor|
RON ELDARD,actor,actor|
JEFFREY NORDLING,Actor,actor|
OSKAR WERNER,actor,actor|
ERROL FLYNN,actor,actor|
KYLE MACLACHLAN,actor,actor|
DONALD FAISON,actor,actor|
DONAL LOGUE,Actor,actor|
GORDON JUMP,actor,actor|
DOMINIC PURCELL,Actor,actor|
TONY RANDALL,actor,actor|
PETER MACNICOL,actor,actor|
JAY HERNANDEZ,actor,actor|
ROGER BART,Actor,actor|
SEYMOUR CASSEL,Actor,actor|
DEAN MCDERMOTT,actor,actor|
BRIAN DONLEVY,actor,actor|
KEVIN ALEJANDRO,actor,actor|
ALBERT SALMI,Actor,actor|
JOHN LAVELLE,Actor,actor|
GLADYS GEORGE,Actor,"actor|""film actor""|"
TOM BERENGER,actor,"actor|""film actor""|"
BONITA GRANVILLE,actor,"actor|""film actor""|""film producer""|"
RAINN WILSON,actor,"actor|""film director""|""writer""|""blogger""|"
CASEY AFFLECK,Actor,"actor|""film producer""|"
TOM HULCE,actor,"actor|""film producer""|""singer""|""voice actor""|"
KATT WILLIAMS,actor,"actor|""musician""|"
EVAN ROSS,actor,"actor|""musician""|"
KEN MARINO,Actor,"actor|""screenwriter""|"
NEAL MCDONOUGH,actor,"actor|""screenwriter""|"
GLYNN TURMAN,Actor,"actor|""screenwriter""|"
NICHOLAS BRENDON,actor,"actor|""television actor""|"
HARRIS YULIN,Actor,"actor|""television actor""|""film actor""|"
JEREMY PIVEN,actor,"actor|""television actor""|""film actor""|"
OLIVER HUDSON,actor,"actor|""television actor""|""film actor""|"
MICHAEL CHIKLIS,Actor,"actor|""voice actor""|"
ROBERT STACK,actor,"actor|""voice actor""|"
JOHN RATZENBERGER,Actor,"actor|""voice actor""|"
WILL ARNETT,actor,"actor|""voice actor""|"
CHARLES BOYER,Actor,"film actor|""actor""|"
YUL BRYNNER,Actor,"film actor|""actor""|"
FAY WRAY,Actor,"film actor|""actor""|"
LUKE WILSON,actor,"film actor|""actor""|""director""|"
JUSTIN THEROUX,actor,"film actor|""actor""|""film producer""|""film director""|""screenwriter""|"
BRENDAN FRASER,actor,"film actor|""actor""|""voice actor""|"
BETTY HUTTON,Actor,"film actor|""singer""|""actor""|"
SCOTT SCHWARTZ,actor,"pornographic actor|""film director""|""actor""|"
ANDREW MCCARTHY,actor,"screenwriter|""film producer""|""television actor""|""film actor""|""film director""|""actor""|"
LONNY PRICE,Actor,"screenwriter|""playwright""|""film producer""|""television actor""|""film actor""|""theatre director""|""film director""|""actor""|"
JOHN CULLUM,Actor,"screenwriter|""television actor""|""film actor""|""film director""|""singer""|""actor""|"
NEIL PATRICK HARRIS,actor,"television actor|""actor""|""film actor""|""magician""|""voice actor""|""film director""|""musician""|""autobiographer""|"
JENNIFER GARNER,Actor,"television actor|""actor""|""film producer""|""film director""|"
SEBASTIAN STAN,Actor,"television actor|""film actor""|""actor""|"
JON VOIGHT,Actor,"television actor|""film actor""|""actor""|"
DAVID SUCHET,Actor,"television actor|""film actor""|""actor""|"
ERIC MABIUS,actor,"television actor|""film actor""|""actor""|"
STEPHEN SPINELLA,actor,"television actor|""film actor""|""actor""|"
BILLY DEE WILLIAMS,actor,"television actor|""film actor""|""actor""|""novelist""|""writer""|"
JOE FLAHERTY,Actor,voice actor|
DENNIS DUGAN,actor and comedian from the United States,"film director|""actor""|"
GEORGE CLOONEY,actor and director from the United States,"actor|""film producer""|""television actor""|""film actor""|""film director""|""screenwriter""|""writer""|""voice actor""|"
DAVID ARQUETTE,actor and director from the United States,"actor|""screenwriter""|""film director""|""film producer""|""writer""|""composer""|"
GORDON PINSENT,actor and film director from Canada,"actor|""film director""|""screenwriter""|"
KENNETH BRANAGH,actor and film director from Northern Ireland,"film actor|""film director""|""actor""|""screenwriter""|"
ROBERT REDFORD,actor and film director from the United States,"film actor|""film director""|""actor""|""film producer""|""businessperson""|"
BUSTER KEATON,Actor and filmmaker,"film actor|""film director""|""actor""|"
JOSH HARTNETT,actor and producer,"television actor|""film actor""|""actor""|""film producer""|"
KENT OSBORNE,Actor and screenwriter,actor|
ALAN ALDA,Actor and United States Army officer,"actor|""television actor""|""film actor""|""film director""|""screenwriter""|""writer""|"
NATHAN FILLION,actor from Canada,actor|
PAUL BLACKTHORNE,actor from the UK,"actor|""photographer""|"
ALAN TUDYK,actor from the United States,actor|
MARG HELGENBERGER,actor from the United States,actor|
NICOLAS CAGE,actor from the United States,"actor|""film actor""|""film director""|""film producer""|""voice actor""|"
RICHARD GERE,actor from the United States,"actor|""film actor""|""film producer""|""film director""|""human rights activist""|"
TOM CRUISE,actor from the United States,"actor|""film actor""|""film producer""|""writer""|""director""|"
TONY SHALHOUB,actor from the United States,"actor|""film director""|""voice actor""|"
JIMMY DURANTE,actor from the United States,"actor|""pianist""|"
ROB CORDDRY,actor from the United States,"actor|""screenwriter""|"
HARVEY FIERSTEIN,actor from the United States,"actor|""singer""|""author""|""playwright""|""voice actor""|""writer""|"
ASHTON KUTCHER,actor from the United States,"actor|""television actor""|""film actor""|""television presenter""|""financier""|"
TOBEY MAGUIRE,actor from the United States,"film actor|""actor""|""film producer""|"
KEVIN CHAMBERLIN,actor from the USA,actor|
ASHLEY OLSEN,actor from USA,"television actor|""film actor""|""actor""|"
TONY HALE,actor; Comedian,"television actor|""film actor""|""actor""|""comedian""|"
HAL SPARKS,actor; comedian; musician,"actor|""musician""|"
FRED WILLARD,Actor| comedian,actor|
DAVID KOECHNER,actor| comedian,actor|
AASIF MANDVI,Actor| comedian,"actor|""screenwriter""|"
DON KNOTTS,actor| comedian,"actor|""television actor""|"
ROB SCHRAB,Actor| comedian| director and screenwriter,film director|
BEN STILLER,actor| Comedian| director| writer,"screenwriter|""film producer""|""actor""|""television actor""|""film actor""|""film director""|""voice actor""|""writer""|"
JAMES CAGNEY,Actor| dancer,"actor|""film actor""|"
GRIFFIN DUNNE,actor| director,"actor|""film director""|""film producer""|""screenwriter""|"
ADAM SHANKMAN,actor| director| Choreographer| Dancer,"actor|""film director""|""film producer""|""choreographer""|"
BURT REYNOLDS,actor| director| football player,actor|
ADRIAN GRENIER,actor| director| producer| musician,"film producer|""television actor""|""film actor""|""film director""|""actor""|"
JOHN CASSAVETES,actor| director| Producer| Screenwriter| Editor,"film actor|""film director""|""screenwriter""|""actor""|""film producer""|""writer""|"
GARRY MARSHALL,Actor| director| writer| producer,"film producer|""film director""|""actor""|""screenwriter""|""author""|""voice actor""|"
SPALDING GRAY,Actor| dramatist| playwright| screenwriter,"actor|""novelist""|""autobiographer""|""screenwriter""|""writer""|"
NICK NOLTE,Actor| film producer,"film actor|""actor""|""film producer""|""model""|"
DON CHEADLE,Actor| film producer| philanthropist| and author,"actor|""film director""|""poker player""|""film producer""|""writer""|"
OMAR EPPS,actor| musician,"actor|""singer""|""songwriter""|""composer""|"
BRUCE GREENWOOD,Actor| musician,"television actor|""film actor""|""actor""|""voice actor""|"
JOHN VAN DRUTEN,Actor| playwright,"screenwriter|""author""|"
ERIC BOGOSIAN,actor| playwright| monologist| novelist,"actor|""screenwriter""|""author""|"
DENZEL WASHINGTON,actor| screenwriter| director| producer,"actor|""film director""|""film producer""|""basketball player""|""film actor""|"
GARY OLDMAN,actor| screenwriter| director| producer| musician,"film actor|""actor""|""film producer""|""voice actor""|""screenwriter""|""film director""|"
CARL FRANKLIN,Actor| screenwriter| Film and television director,"film director|""actor""|""screenwriter""|"
BARRY BOSTWICK,Actor| singer,actor|
LAVAN DAVIS,actor| singer,"actor|""singer""|"
WILL SWENSON,Actor| singer,"screenwriter|""film director""|""film producer""|""singer""|""actor""|"
BEN STEIN,Actor| writer| commentator| lawyer| teacher| humorist,"actor|""television presenter""|""lawyer""|""author""|""writer""|"
CHRISTINE BARANSKI,actress,actor|
PATRICIA CLARKSON,actress,actor|
ALICE EVE,actress,actor|
EMILY VANCAMP,actress,actor|
ASHLEY JENSEN,actress,actor|
LEAH REMINI,actress,actor|
ANNA CAMP,Actress,actor|
MELANIE PAXSON,Actress,actor|
LORRAINE BRACCO,actress,actor|
JENNA FISCHER,actress,actor|
KIMBERLY ELISE,Actress,actor|
SHEILA HANCOCK,Actress,actor|
JACKIE HOFFMAN,actress,actor|
RACHEL GRIFFITHS,actress,actor|
JULIE KAVNER,actress,actor|
VANESSA FERLITO,actress,actor|
LINDSAY DUNCAN,actress,actor|
FRANCESCA ANNIS,Actress,actor|
SUE JOHNSTON,Actress,actor|
PAIGE HOWARD,Actress,actor|
TRACEE ELLIS ROSS,actress,actor|
CASSI DAVIS,actress,actor|
JAN MAXWELL,Actress,actor|
LAURA OSNES,actress,actor|
HAZELLE GOODMAN,Actress,actor|
LESLIE CARON,actress,"actor|""film actor""|""dancer""|"
JOAN FONTAINE,Actress,"actor|""film actor""|""writer""|"
SALLY FIELD,Actress,"actor|""film director""|""singer""|""voice actor""|"
LORI LOUGHLIN,Actress,"actor|""model""|"
CHERYL LADD,Actress,"actor|""singer""|"
LUCIE ARNAZ,actress,"actor|""singer""|""dancer""|"
JOAN ALLEN,actress,"actor|""television actor""|""film actor""|"
TALLULAH BANKHEAD,actress,"actor|""television actor""|""film actor""|""autobiographer""|"
BEBE NEUWIRTH,Actress,"actor|""television actor""|""film actor""|""ballet dancer""|""dancer""|""singer""|"
LISA RINNA,Actress,"actor|""television presenter""|"
REGINA KING,Actress,"actor|""voice actor""|"
DEBI MAZAR,Actress,"actor|""voice actor""|"
DANA DELANY,actress,"actor|""voice actor""|"
MAGGIE GYLLENHAAL,actress,"film actor|""actor""|"
DARYL HANNAH,actress,"film actor|""actor""|""model""|"
BO DEREK,actress,"film producer|""film actor""|""actor""|""model""|""autobiographer""|"
CYBILL SHEPHERD,actress,"singer|""actor""|""beauty pageant contestant""|""autobiographer""|"
DONNA MILLS,Actress,"television actor|""actor""|"
IBEN HJEJLE,actress,"television actor|""actor""|"
CARLY SCHROEDER,Actress,"television actor|""film actor""|""actor""|"
NICOLLETTE SHERIDAN,actress,"television actor|""film actor""|""actor""|"
ELISABETH SHUE,Actress,"television actor|""film actor""|""actor""|""film producer""|"
RACHAEL HARRIS,Actress and Comedian,actor|
SHARON STONE,actress and fashion model from the United States,"actor|""film actor""|""model""|"
LAURA KEENE,Actress and manager,
DEMETRIA MCKINNEY,actress and singer,actor|
NICOLE KIDMAN,actress from Hawaii,"actor|""singer""|""film producer""|"
BETTY WHITE,actress from the United States,"actor|""comedian""|""television presenter""|""singer""|""writer""|""musician""|"
ROSALIND RUSSELL,actress from the United States,"actor|""film actor""|""singer""|"
REBECCA ROMIJN,actress from the United States,"actor|""model""|"
AMY POEHLER,actress from the United States,"actor|""screenwriter""|""film producer""|""writer""|""television actor""|"
ELAINE STRITCH,actress from the United States,"actor|""singer""|"
KAREN BLACK,actress from the United States,"actor|""singer""|""screenwriter""|""singer-songwriter""|""composer""|"
KYRA SEDGWICK,actress from the United States,"actor|""television actor""|""film actor""|"
TALIA SHIRE,actress from the United States,"film actor|""actor""|"
JULIE CHRISTIE,Actress| activist,"film actor|""actor""|"
JAMIE LEE CURTIS,actress| author,"actor|""film actor""|""writer""|""author""|"
TORI SPELLING,Actress| author,"actor|""television actor""|""film actor""|""autobiographer""|"
JACLYN SMITH,Actress| businesswoman,"actor|""model""|""entrepreneur""|"
VICKI LAWRENCE,Actress| comedian| singer| television personality,"actor|""singer""|"
GRACIE ALLEN,Actress| comedienne,"actor|""singer""|""dancer""|"
CAROL BURNETT,Actress| comedienne| singer| dancer| writer,"actor|""singer""|"
ROSEANNE BARR,actress| comedienne| writer| producer| director,"actor|""television actor""|""writer""|""blogger""|"
FIONA SHAW,Actress| director,actor|
ZOE CALDWELL,Actress| director,actor|
MELISSA GILBERT,Actress| director,"actor|""autobiographer""|"
CHERYL HINES,actress| director,"actor|""film director""|""voice actor""|"
ASIA ARGENTO,actress| film director,"film director|""actor""|""film producer""|""disc jockey""|""singer""|""author""|""screenwriter""|"
ZOE CASSAVETES,Actress| film director| screenwriter,"actor|""screenwriter""|""film director""|"
INGRID VANDEBOSCH,Actress| model,actor|
MARISA BERENSON,Actress| model,"actor|""model""|"
VIVICA A. FOX,actress| producer,"actor|""film producer""|"
JOANNE WOODWARD,Actress| producer,"television actor|""film actor""|""actor""|"
LINDA BLAIR,actress| producer| animal rights activist,"actor|""film actor""|"
JENNIFER WESTFELDT,Actress| screenwriter,"actor|""screenwriter""|""film producer""|""film director""|""writer""|"
EMMA THOMPSON,actress| screenwriter,"actor|""television actor""|""film actor""|""comedian""|""film director""|"
CARRIE FISHER,actress| screenwriter| novelist,"actor|""film actor""|""novelist""|""playwright""|""voice actor""|""screenwriter""|""writer""|"
RUTH JONES,Actress| script-writer| producer,"actor|""screenwriter""|"
LAURA BELL BUNDY,Actress| singer,actor|
HELENA BONHAM CARTER,actress| singer,"actor|""film actor""|""voice actor""|"
BETTY BUCKLEY,Actress| singer,"actor|""musician""|""singer""|"
GERTRUDE LAWRENCE,Actress| singer,"actor|""singer""|"
LEA MICHELE,actress| singer,"actor|""singer""|""composer""|""voice actor""|""musician""|""singer-songwriter""|"
ANNIE ROSS,Actress| singer and vocalist,"actor|""singer""|"
KRISTIN CHENOWETH,actress| singer| author,"singer|""actor""|""writer""|""voice actor""|""autobiographer""|""composer""|"
CHRISTINE PEDI,Actress| singer| disk jockey,
SHAR JACKSON,actress| singer| rapper,"actor|""musician""|"
TONYA PINKINS,Actress| singer| writer| Activist| Author,"television actor|""film actor""|"
MINNIE DRIVER,actress| singer-songwriter,"actor|""television actor""|""film actor""|""film producer""|""singer""|""songwriter""|""singer-songwriter""|"
KATEY SAGAL,actress| singer-songwriter,"singer|""actor""|""singer-songwriter""|""composer""|"
ANTOINETTE PERRY,Actress| stage director and co-founder of the American Theatre Wing,theatre director|
KELLY RIPA,actress| talk show host,"television actor|""actor""|""television presenter""|"
JUDITH MALINA,Actress| theatre director| playwright,"actor|""author""|""writer""|"
LOREN HORSLEY,Actress| writer,actor|
MARIA AITKEN,Actress| writer| producer and director,"actor|""screenwriter""|""author""|"
GERALDINE HUGHES,Acttress,
HELEN PREJEAN,advocate for the abolition of the death penalty,author|
GULBUDDIN HEKMATYAR,Afghan politician,politician|
ABDUL RASHID DOSTUM,Afghan warlord,"politician|""military personnel""|"
LINDA HOPKINS,African American actress and blues and gospel singer,"musician|""singer""|"
KARA WALKER,African American artist,artist|
JOHNNY BANKS,African American boxer,boxer|
HARRIET TUBMAN,African-American abolitionist and humanitarian,
ROSA PARKS,African-American civil rights activist,"autobiographer|""tailor""|"
MEDGAR EVERS,African-American civil rights activist,politician|
MARIAN ANDERSON,African-American contralto,"musician|""opera singer""|"
TRUDY PITTS,African-American jazz musician,jazz musician|
CORNEL WEST,African-American philosopher and political/civil rights activist,"theologian|""philosopher""|"
MA RAINEY,African-American singer,"street artist|""musician""|"
AMIRI BARAKA,African-American writer,"poet|""writer""|""author""|""playwright""|"
PHILIPPE REINES,aide to Hillary Clinton,
SARA TAYLOR,Aide to President George W. Bush,
LULZIM BASHA,Albanian politician,"politician|""diplomat""|"
SALI BERISHA,Albanian politician,"surgeon|""politician""|"
ROBERT STROUD,Alcatraz inmate,"ornithologist|""zoologist""|"
YASMINA KHADRA,Algerian writer,"writer|""author""|"
OUASSINI EMBAREK,Algerian-French actor,
BRAD WILKERSON,All-American college baseball player| Major League baseball player| first baseman| outfielder| Olympic gold medalist,baseball player|
DAVID ECKSTEIN,All-American college baseball player| Major League baseball player| World Series MVP| MLB All-Star,baseball player|
CHRIS MCALISTER,All-American college football player| professional football player| cornerback,"sportsperson|""gridiron football player""|"
LITO SHEPPARD,All-American college football player| professional football player| cornerback| All-Pro| Pro Bowl selection,"sportsperson|""gridiron football player""|"
TERENCE NEWMAN,All-American college football player| professional football player| defensive back,sportsperson|
DEION SANDERS,All-American college football player| professional football player| defensive back| cornerback| wide receiver,"sportsperson|""baseball player""|""gridiron football player""|"
REGGIE NELSON,All-American college football player| professional football player| defensive back| safety,"sportsperson|""gridiron football player""|"
TIM MCDONALD,All-American college football player| professional football player| defensive back| safety,"sportsperson|""gridiron football player""|"
JEVON KEARSE,All-American college football player| professional football player| defensive end| All-Pro| Pro Bowl selection,"sportsperson|""gridiron football player""|"
REGGIE WHITE,All-American college football player| professional football player| defensive lineman| College Football Hall of Fame member,sportsperson|
ANDRE WADSWORTH,All-American college football player| professional football player| defensive lineman| defensive end,sportsperson|
BRIAN BOSWORTH,All-American college football player| professional football player| linebacker,actor|
BRIAN URLACHER,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
TEDY BRUSCHI,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
LAVAR ARRINGTON,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
BRANDON SHORT,All-American college football player| professional football player| linebacker,"sportsperson|""gridiron football player""|"
JACK DEL RIO,All-American college football player| professional football player| linebacker| coach,"sportsperson|""baseball player""|"
MIKE SINGLETARY,All-American college football player| professional football player| linebacker| coach| College Football Hall of Fame member| Pro Football Hall of Fame member,"sportsperson|""gridiron football player""|"
LAWRENCE TAYLOR,All-American college football player| professional football player| linebacker| Pro Football Hall of Fame member,"actor|""sportsperson""|"
BOB WHITFIELD,All-American college football player| professional football player| offensive lineman,"sportsperson|""gridiron football player""|"
BRAD MAYNARD,All-American college football player| professional football player| punter,"sportsperson|""gridiron football player""|"
REX GROSSMAN,All-American college football player| professional football player| quarterback,"sportsperson|""gridiron football player""|"
JOHN ELWAY,All-American college football player| professional football player| quarterback| College Football Hall of Fame member| Pro Football Hall of Fame member,"sportsperson|""baseball player""|""gridiron football player""|"
VINNY TESTAVERDE,All-American college football player| professional football player| quarterback| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
MATT LEINART,All-American college football player| professional football player| quarterback| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
WILLIS MCGAHEE,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
LADAINIAN TOMLINSON,All-American college football player| professional football player| running back,"sportsperson|""gridiron football player""|"
GALE SAYERS,All-American college football player| professional football player| running back| College Football Hall of Fame| Pro Football Hall of Fame,stockbroker|
EMMITT SMITH,All-American college football player| professional football player| running back| Super Bowl champion| sports broadcaster| College Football Hall of Fame member,"sportsperson|""gridiron football player""|"
PERCY HARVIN,All-American college football player| professional football player| wide receiver,sportsperson|
JABAR GAFFNEY,All-American college football player| professional football player| wide receiver,sportsperson|
KEYSHAWN JOHNSON,All-American college football player| professional football player| wide receiver,"sportsperson|""gridiron football player""|"
DESMOND HOWARD,All-American college football player| professional football player| wide receiver| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
CRIS COLLINSWORTH,All-American college football player| professional football player| wide receiver| Pro Bowl selection| sports broadcaster,gridiron football player|
CHRIS DIMARCO,All-American college golfer| professional golfer| PGA Tour member,golfer|
AKSEL LUND SVINDAL,Alpine skier,alpine skier|
JEAN ARP,Alsatian| sculptor| painter| poet and abstract artist,"painter|""sculptor""|""poet""|""author""|""writer""|"
MICHAEL WEAVER,Amateur golfer,golfer|
MAUREEN ORCUTT,Amateur golfer,golfer|
HOT ROD,Ameriacn rapper and singer,rapper|
TIM TEBOW,American  football player| quarterback| Heisman Trophy winner,"sportsperson|""gridiron football player""|"
DALLAS BRADEN,American  professional baseball pitcher,baseball player|
BARNETT SLEPIAN,American abortion provider,physician|
STEPHEN SESTANOVICH,American academic,diplomat|
GARRY WILLS,American academic,historian|
ROBERTA WOHLSTETTER,American academic,"historian|""political scientist""|"
LIONEL TRILLING,American academic,"literary critic|""writer""|""author""|""novelist""|"
JOSEPH W. POLISI,American academic,music educator|
JONATHAN SIMON,American academic,sociologist|
BRUCE RIEDEL,American academic,writer|
MARK ANTHONY NEAL,American academic,writer|
SONJA LYUBOMIRSKY,American academic,
DAVID YAFFE,American academic,
JOHN BUSE,American academic,
REYNOLD LEVY,American academic,
ZACHARY LEADER,American academic,
KENNETH W. STEIN,American academic,
DONNA SHALALA,American academic,
BRUCE HOFFMAN,American academic,
BERTHA MADRAS,American academic,
CYNTHIA M. BULIK,American academic,
DAVID A. CAPUTO,American academic,
FRANK KRUESI,AMerican academic,
HAROLD HOLZER,American academic,
JOHN C. GREEN,American academic,
MARTIN J. BLASER,American academic,
REGINA PERUGGI,American academic,
SAIDIYA HARTMAN,American academic,
SARAH PIERCE,American academic,
ERIC REEVES,American academic,
MARION NESTLE,American academic,
AMY ZEGART,American academic,
ARNOLD RAMPERSAD,American academic,
MYLES BRAND,American academic administrator,
MARTIN MEYERSON,American academic administrator,
RICHARD H. BRODHEAD,American academic administrator,
DENNIS H. HOLTSCHNEIDER,American academic administrator,
DEREK BOK,American academic administrator and lawyer,"writer|""educationist""|""university professor""|"
VALI NASR,American academic and author,professor|
BEN YAGODA,American academic and writer,
NOAH FELDMAN,American academic| educator| political writer,
LAWRENCE LESSIG,American academic| political activist. Founder| Stanford Center for Internet and Society| Creative Commons. Proponent of reduced legal restrictions on copyright| trademark| radio frequency spectrum| esp. in technology applications.,jurist|
ROBERT G. BOTTOMS,American acaedmic,
MARIO SAVIO,American activist,academician|
ELI PARISER,American activist,author|
JIM WALLIS,American activist,"author|""theologian""|""writer""|"
KEVIN TILLMAN,American activist,baseball player|
BETTY FRIEDAN,American activist,"journalist|""writer""|"
FRED WERTHEIMER,American activist,lobbyist|
RACHEL ROBINSON,American activist,"nurse|""baseball player""|"
PHYLLIS SCHLAFLY,American activist,radio host|
LOU DOBBS,American activist,"radio host|""news presenter""|"
LAURIE DAVID,American activist,"screenwriter|""talent agent""|"
CHRISTINE KING FARRIS,American activist,woman of letters|
DAVID A. HARRIS,American activist,
JOSEPH CIRINCIONE,American activist,
MARY HARRIMAN RUMSEY,American activist,
JOE SOLMONESE,American activist,
